2018-01-09.12:54:07:	Program initilized
2018-01-09.12:54:13:	Loaded D:/chair_alb0.ply
2018-01-09.12:54:13:	Added 1 rawPC in DB. Size: 1
2018-01-09.12:54:27:	Processing 1 point clouds
2018-01-09.12:54:27:	Median filtering on 307200points ...
2018-01-09.12:54:27:	Downsampling Done. Now 307200 points
2018-01-09.12:54:27:	1 rawPC replaced DB. Size: 1
2018-01-09.12:54:32:	Scan window closed
2018-01-09.12:54:32:	Main window closed
