2018-01-09.12:52:07:	Program initilized
2018-01-09.12:52:13:	Loaded D:/chair_alb0.ply
2018-01-09.12:52:13:	Added 1 rawPC in DB. Size: 1
2018-01-09.12:52:22:	Processing 1 point clouds
2018-01-09.12:52:22:	Random sampling on 307200points ...
2018-01-09.12:52:22:	Downsampling Done. Now 61440 points
2018-01-09.12:52:22:	1 rawPC replaced DB. Size: 1
2018-01-09.12:52:44:	Scan window closed
2018-01-09.12:52:44:	Main window closed
