2017-12-29_13_35_33:	Program initilized
2017-12-29_13_35_58:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze1.ply
2017-12-29_13_35_58:	Added 1 rawPC in DB
2017-12-29_13_35_58:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze2.ply
2017-12-29_13_35_58:	Added 1 rawPC in DB
2017-12-29_13_35_58:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze3.ply
2017-12-29_13_35_58:	Added 1 rawPC in DB
2017-12-29_13_35_58:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze4.ply
2017-12-29_13_35_58:	Added 1 rawPC in DB
2017-12-29_13_35_58:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze5.ply
2017-12-29_13_35_58:	Added 1 rawPC in DB
