2018-01-06.18:15:32:	Program initialized
2018-01-06.18:15:41:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud1.ply
2018-01-06.18:15:41:	Added 1 rawPC in DB. Size: 1
2018-01-06.18:15:41:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud2.ply
2018-01-06.18:15:41:	Added 1 rawPC in DB. Size: 2
2018-01-06.18:15:41:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud3.ply
2018-01-06.18:15:41:	Added 1 rawPC in DB. Size: 3
2018-01-06.18:15:43:	PC List clicked
2018-01-06.18:15:46:	PC List clicked
2018-01-06.18:15:47:	PC List clicked
2018-01-06.18:15:48:	PC List clicked
2018-01-06.18:15:49:	PC List clicked
2018-01-06.18:15:49:	PC List clicked
