2017-12-29_13_37_10:	Program initilized
2017-12-29_13_37_35:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze0.ply
2017-12-29_13_37_35:	Added 1 rawPC in DB
2017-12-29_13_37_35:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze1.ply
2017-12-29_13_37_35:	Added 1 rawPC in DB
2017-12-29_13_37_35:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze2.ply
2017-12-29_13_37_35:	Added 1 rawPC in DB
2017-12-29_13_37_35:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze3.ply
2017-12-29_13_37_35:	Added 1 rawPC in DB
2017-12-29_13_37_35:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze4.ply
2017-12-29_13_37_35:	Added 1 rawPC in DB
2017-12-29_13_37_35:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_eze5.ply
2017-12-29_13_37_35:	Added 1 rawPC in DB
