2018-01-06.19:28:06:	Program initialized
2018-01-06.19:28:14:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud1.ply
2018-01-06.19:28:14:	Added 1 rawPC in DB. Size: 1
2018-01-06.19:28:21:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud2.ply
2018-01-06.19:28:21:	Added 1 registeredPC in DB. Size: 1
2018-01-06.19:28:21:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud3.ply
2018-01-06.19:28:21:	Added 1 registeredPC in DB. Size: 2
2018-01-06.19:28:33:	Filter window opened
2018-01-06.19:29:03:	Register window opened
