2018-01-07.19:41:12:	Program initilized
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb0.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 1
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb1.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 2
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb2.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 3
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb3.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 4
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb4.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 5
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb5.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 6
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb6.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 7
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb7.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 8
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb8.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 9
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb9.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 10
2018-01-07.19:41:28:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb10.ply
2018-01-07.19:41:28:	Added 1 rawPC in DB. Size: 11
2018-01-07.19:41:35:	Processing 11 point clouds
2018-01-07.19:41:35:	Processing pair number 1
2018-01-07.19:41:37:	Finding correspondences. src: 33959 points, target: 33762 points
2018-01-07.19:41:38:	Found 2816 correspondences.
2018-01-07.19:41:38:	 ---- Running correspondence rejection on src: 2816 correspondences.
2018-01-07.19:41:38:	 ------ Total Kept 2816 correspondences (100.000000%)
2018-01-07.19:41:38:	 ------ Running ICP
2018-01-07.19:41:41:	Processing pair number 2
2018-01-07.19:41:46:	Finding correspondences. src: 67721 points, target: 31143 points
2018-01-07.19:41:46:	Found 3213 correspondences.
2018-01-07.19:41:46:	 ---- Running correspondence rejection on src: 3213 correspondences.
2018-01-07.19:41:46:	 ------ Total Kept 3213 correspondences (100.000000%)
2018-01-07.19:41:46:	 ------ Running ICP
2018-01-07.19:41:58:	Processing pair number 3
2018-01-07.19:42:06:	Finding correspondences. src: 98864 points, target: 25341 points
2018-01-07.19:42:07:	Found 2771 correspondences.
2018-01-07.19:42:07:	 ---- Running correspondence rejection on src: 2771 correspondences.
2018-01-07.19:42:07:	 ------ Total Kept 2771 correspondences (100.000000%)
2018-01-07.19:42:07:	 ------ Running ICP
2018-01-07.19:43:01:	Processing pair number 4
2018-01-07.19:43:12:	Finding correspondences. src: 124205 points, target: 23125 points
2018-01-07.19:43:13:	Found 3875 correspondences.
2018-01-07.19:43:13:	 ---- Running correspondence rejection on src: 3875 correspondences.
2018-01-07.19:43:13:	 ------ Total Kept 3875 correspondences (100.000000%)
2018-01-07.19:43:13:	 ------ Running ICP
2018-01-07.19:44:26:	Processing pair number 5
2018-01-07.19:44:39:	Finding correspondences. src: 147330 points, target: 30987 points
2018-01-07.19:44:40:	Found 6139 correspondences.
2018-01-07.19:44:40:	 ---- Running correspondence rejection on src: 6139 correspondences.
2018-01-07.19:44:40:	 ------ Total Kept 6139 correspondences (100.000000%)
2018-01-07.19:44:40:	 ------ Running ICP
2018-01-07.19:45:23:	Processing pair number 6
2018-01-07.19:45:41:	Finding correspondences. src: 178317 points, target: 30146 points
2018-01-07.19:45:43:	Found 8575 correspondences.
2018-01-07.19:45:43:	 ---- Running correspondence rejection on src: 8575 correspondences.
2018-01-07.19:45:43:	 ------ Total Kept 8575 correspondences (100.000000%)
2018-01-07.19:45:43:	 ------ Running ICP
2018-01-07.19:46:49:	Processing pair number 7
2018-01-07.19:47:14:	Finding correspondences. src: 208463 points, target: 23057 points
2018-01-07.19:47:15:	Found 7309 correspondences.
2018-01-07.19:47:15:	 ---- Running correspondence rejection on src: 7309 correspondences.
2018-01-07.19:47:15:	 ------ Total Kept 7309 correspondences (100.000000%)
2018-01-07.19:47:15:	 ------ Running ICP
2018-01-07.19:48:14:	Processing pair number 8
