2018-01-06.18:07:25:	Program initialized
2018-01-06.18:07:30:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud1.ply
2018-01-06.18:07:30:	Added 1 rawPC in DB. Size: 1
2018-01-06.18:07:32:	PC List clicked
2018-01-06.18:07:41:	PC List clicked
2018-01-06.18:07:42:	PC List clicked
2018-01-06.18:07:45:	PC List clicked
2018-01-06.18:07:52:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud2.ply
2018-01-06.18:07:52:	Added 1 rawPC in DB. Size: 2
2018-01-06.18:07:54:	PC List clicked
2018-01-06.18:07:56:	PC List clicked
2018-01-06.18:07:58:	PC List clicked
2018-01-06.18:07:59:	PC List clicked
2018-01-06.18:08:47:	Loaded C:/SoftEngProject/3DScan/build-MAGMA-3D-Desktop_Qt_5_7_0_MSVC2015_64bit-Release/TDK_CapturedPointCloud3.ply
2018-01-06.18:08:47:	Added 1 rawPC in DB. Size: 3
2018-01-06.18:08:48:	PC List clicked
