2018-01-07.04:17:42:	Program initilized
2018-01-07.04:17:57:	Loaded D:/3DScanProjects/3D-KORN/Source-Code/ScanRegistrationDev/chair_alb6.ply
2018-01-07.04:17:57:	Added 1 rawPC in DB. Size: 1
2018-01-07.04:17:59:	Filter window opened
2018-01-07.04:18:01:	Processing 1 point clouds
2018-01-07.04:18:04:	Filter window opened
2018-01-07.04:18:05:	Processing 1 point clouds
2018-01-07.04:18:05:	Covariance  sampling on 307200points ...
2018-01-07.04:18:05:	Normals Done. Now 307200
2018-01-07.04:18:05:	zeryhthd 76800 points
2018-01-07.04:18:05:	Downsampling Done. Now 307200 points
2018-01-07.04:18:05:	Dzetg dw 0 points
